# 如有侵权，可联系项目作者删除
阿	ek
箸	vo
舳	vy
珠	wv
诸	yo
诛	yv
躅	zi
逐	zu
坠	et
揣	fe
赘	fr
锥	jf
椎	mf
骓	mf
隹	rf
缀	sy
缒	sz
惴	xe
追	zk
这	zw
髽	at
抓	fv
挝	fz
爪	pn
屯	av
窀	bt
准	df
淳	dz
衠	ii
肫	ot
𬘯	sz
圫	tq
忳	xt
谆	yz
宙	by
荮	cc
州	dl
#洲	dl
洲	dv
皱	dy
帚	ej
粥	gg
昼	id
辀	iv
轴	iy
咒	kj
周	kk
啁	kk
赒	kk
椆	mk
骤	mn
婤	nk
妯	ny
肘	oc
舟	pd
繇	px
㑇	re
纣	sc
绉	se
碡	um
鸼	vn
籀	vt
㤘	xe
酎	yc
诌	ye
胄	yo
瓦	ad
窊	bg
洼	dt
挖	fv
蛙	it
呙	kn
哇	kt
凹	la
婠	nk
娲	nn
娃	nt
腽	om
袜	pm
佤	rw
畖	tg
歪	bv
崴	en
呙	kn
外	xb
鳁	am
瘟	bm
芠	cw
温	dm
汶	dw
揾	fm
炆	hw
稳	hx
辒	im
蚊	iw
吻	kw
闻	me
问	mk
榅	mm
𫘜	mw
阌	my
璺	py
缊	sm
纹	sw
刎	wd
韫	wm
玟	ww
忞	wx
文	wx
紊	wx
雯	yw
鹟	bn
瓮	bw
翁	bx
蕹	cf
蓊	cx
滃	dx
𬭩	jx
嗡	kx
王	at
汪	dw
魍	gw
往	iv
辋	iw
罔	kw
网	kx
枉	mw
旺	ow
妄	wn
亡	wv
望	ww
忘	wx
惘	xw
尪	yw
万	ap
豌	av
剜	bd
完	be
皖	be
宛	bv
莞	ce
菀	cv
芄	cw
蔓	cy
湾	dg
涴	dv
𬇕	dw
顽	er
挽	fv
烷	he
蜿	iv
椀	mv
妧	ne
婠	nk
婉	nv
脘	oe
晚	ov
腕	ov
丸	pd
𬘫	se
绾	sk
纨	sw
塆	tg
畹	tv
碗	uv
毌	va
玩	we
弯	wg
琬	wv
惋	xv
窝	bn
莴	cn
涡	dn
渥	dt
涴	dv
沃	dy
握	ft
挝	fz
馧	hm
卧	ib
蜗	in
幄	jt
呙	kn
喔	kt
肟	ok
我	pd
倭	rn
偓	rt
斡	uu
硪	uw
龌	vt
踒	zn
五	aa
戊	ad
兀	ae
鹉	an
武	av
无	ay
寤	bk
痦	bk
勿	bp
芜	cw
芴	cw
鋈	dj
污	dk
洿	dk
浯	dk
𣲘	dw
峿	ek
屼	ew
於	fd
捂	fk
鹀	gn
戊	gp
巫	gr
庑	gw
靰	gw
焐	hk
蜈	it
铻	jk
鼯	jk
钨	jw
唔	kk
吴	kt
呜	kw
梧	mk
杌	mw
牾	nk
妩	nw
物	nw
晤	ok
旿	ow
乌	pa
午	pg
舞	pl
侮	rm
仵	rw
伍	rw
骛	sm
婺	sn
鹜	sn
圬	tk
坞	tw
屋	ut
毋	va
邬	we
郚	we
吾	wk
珸	wk
务	wl
珷	wv
悟	xk
忤	xw
怃	xw
雾	yl
诬	yr
误	yt
恶	yx
迕	zw
鳚	ac
韦	al
未	an
鳂	an
鲔	ao
𬶏	av
痿	bn
蔚	cc
萎	cn
葳	cn
苇	cw
薇	cw
𫇭	cw
薳	cz
为	dd
潍	df
洧	do
渭	do
𬱟	dr
危	dv
洈	dv
沩	dw
涠	dw
溦	dw
𣲗	dw
卫	ea
嵬	eg
巍	eg
隗	eg
崴	en
隈	en
峗	ev
㧑	fw
廆	gg
魏	hg
委	hn
煨	hn
煟	ho
炜	hw
微	iw
𬭬	je
帷	jf
帏	jw
唯	kf
喂	kn
味	kw
围	kw
桅	mv
闱	mw
娓	nm
韪	ow
𬀩	ow
猥	qn
猬	qo
位	rl
偎	rn
伟	rw
伪	rw
维	sf
纬	sw
畏	tn
胃	to
圩	ty
尉	uc
螱	ui
硙	uj
尾	um
碨	un
硊	uv
慰	ux
卫	va
艉	vm
琟	wf
亹	wq
玮	ww
惟	xf
威	xn
霨	yc
诿	yn
谓	yo
逶	zn
遗	zr
违	zw
薪	cj
莘	cu
芯	cx
心	dd
𫷷	gr
炘	hj
鑫	jj
欣	jr
锌	ju
镡	ju
新	lj
歆	lr
辛	lu
昕	oj
囟	px
信	rk
伈	rx
馨	uo
衅	xb
忻	xj
䜣	yj
西	aa
鳛	ab
𬶮	ak
卌	al
郤	be
兮	bv
穸	bx
窸	bx
菥	cj
昔	co
蓰	cr
茜	cx
葸	cx
溪	dd
洗	de
潟	dh
浠	dj
淅	dj
觿	dk
汐	dx
玺	dy
嶍	eb
酅	ee
巇	eg
隰	eh
嶲	ev
隙	ex
觋	ge
席	gj
爔	hd
烯	hj
稀	hj
熄	hx
熻	hx
蜥	ij
徙	ir
螅	ix
蟋	ix
鼷	jd
铣	je
舄	jh
𬭳	jk
锡	jw
熙	kh
吸	kj
唏	kj
嘻	kk
喺	kx
袭	ly
皙	mb
𫘬	md
阋	me
析	mj
樨	mn
檄	mw
栖	mx
粞	mx
嬉	nk
媳	nx
牺	nx
曦	od
晞	oj
晰	oj
睎	oj
暿	ok
腊	oo
肸	ou
膝	ou
夕	pd
奚	pd
禊	pd
禧	pk
谿	pk
裼	pw
悉	px
系	px
傒	rd
俙	rj
僖	rk
歙	rr
係	rx
翕	rx
绤	sk
枲	sm
细	st
熹	uh
豨	uj
喜	uk
犀	un
碏	uo
饩	uq
屃	ur
屣	ur
憙	ux
硒	ux
饻	uy
习	vd
舾	vx
釐	wl
𠅤	wx
郄	xe
郗	xe
希	xj
惜	xo
忾	xq
恓	xx
羲	yd
戏	yg
䜣	yj
醯	ym
蹊	zd
息	zx
荇	ci
荥	cu
陉	eg
擤	fl
煋	hu
行	ii
铏	jd
钘	jk
刑	kd
邢	ke
形	kp
型	kt
杏	mk
骍	mu
婞	ng
𫰛	ng
姓	nu
星	ou
腥	ou
猩	qu
幸	tg
硎	ud
省	uo
饧	up
瑆	wu
兴	xb
悻	xg
性	xu
惺	xu
醒	yu
葙	co
巷	cs
芗	cx
象	dn
湘	do
降	el
项	gr
庠	gy
香	ho
厢	io
鲞	ja
镶	jy
响	kk
橡	mn
相	mo
想	mx
骧	my
向	pk
祥	py
像	rn
儴	ry
缃	so
𬙋	sy
饷	uk
箱	vo
乡	vp
珦	wk
瓖	wy
襄	wy
享	wz
飨	xl
翔	yx
详	yy
鲜	ay
宪	be
痫	bm
𬸣	bn
莶	ca
苋	ce
藓	cy
冼	de
涎	dz
崄	ea
险	ea
岘	ee
限	eg
陷	ej
挦	fc
掺	fp
掀	fr
弦	gy
蚬	ie
衔	ii
铣	je
锨	jr
贤	lr
籼	me
闲	mm
鹇	mn
先	ne
孅	nj
娴	nm
嫌	nn
盷	od
𪾢	oe
𬀪	oe
㬎	oh
腺	ou
显	oy
祆	pt
禒	pu
猃	qa
氙	qe
县	qs
狝	qx
仙	re
伭	ry
线	sj
纤	sq
缐	su
𫄧	sz
硍	ug
燹	uh
馅	uj
献	uq
筅	ve
舷	vy
现	we
玹	wy
咸	xk
忺	xr
酰	ye
𫍯	yk
羡	yr
霰	yw
跣	ze
暹	zf
跹	zz
皛	bb
宵	bo
萧	cs
消	do
淆	do
潇	ds
洨	dx
涍	dz
崤	eo
魈	go
熇	hk
蛸	io
蟏	is
虓	jj
销	jo
嚣	kk
鸮	kn
啸	ks
哓	kw
哮	kz
小	ld
孝	lz
枵	mv
骁	mw
校	mx
姣	nx
睄	oo
晓	ow
枭	pm
猇	qj
翛	rx
绡	so
硝	uo
箫	vs
筱	vw
笑	vy
效	ww
削	xd
肖	xo
敩	xw
恔	xx
霄	yo
𫍲	yy
逍	zo
鲑	at
写	by
薤	cj
薢	cn
蟹	di
瀣	dj
渫	dm
澥	dn
解	dn
觟	dt
泄	du
泻	dy
契	fd
揳	fd
挟	fj
携	fn
撷	fr
絜	fx
廨	gn
鞋	gt
燮	hy
蝎	iv
叶	ku
勰	lx
械	mc
榭	mc
楔	md
榍	mo
胁	ob
歇	or
卸	pe
血	pm
獬	qn
偕	rb
偰	rd
㙦	rt
斜	ru
缬	sr
绁	su
协	ub
屑	uo
颉	ur
些	ve
𬹼	vl
卸	we
亵	wy
𤫉	wy
懈	xn
谐	yb
谢	yc
邪	ye
邂	zn
躞	zy
髹	am
宿	bb
滫	do
溴	dq
岫	ey
庥	gm
秀	hn
䗛	io
锈	jn
咻	km
嗅	kq
朽	mv
袖	py
休	rm
鸺	rn
脩	ro
修	rp
绣	sn
馐	ui
貅	vm
琇	wn
珛	wo
羞	yi
臭	zq
宣	bg
痃	by
癣	by
萱	cg
渲	dg
漩	dr
泫	dy
旋	fr
烜	hg
煊	hg
炫	hy
轩	ig
衒	ii
券	jd
𫓶	jo
铉	jy
咺	kg
喧	kg
楦	mg
𫠊	my
嬛	ny
晅	og
暄	og
暅	og
暶	or
昡	oy
眩	oy
禤	px
悬	qx
伭	ry
儇	ry
绚	so
翾	sx
碹	ug
瑄	wg
琄	wo
璇	wr
玄	wy
玹	wy
愃	xg
𬣞	ya
谖	yy
𫍽	yy
选	ze
匈	bk
芎	cg
汹	dk
夐	dw
兄	ke
胸	ok
熊	sh
雄	uf
凶	xk
讻	yk
诇	yk
鳕	ae
穴	bb
茓	cb
薛	cu
踅	fr
靴	gb
噱	ku
血	pm
削	xd
峃	xe
敩	xw
学	xz
谑	ya
雪	ye
蓿	cb
蓄	ct
湑	do
浒	dw
洫	dx
溆	dy
砉	fu
序	gl
魆	gv
欻	hr
虚	hy
徐	ih
旭	jo
𬬸	ju
勖	kl
冔	ky
吁	ky
嘘	ky
糈	mo
栩	mx
婿	no
絮	nx
煦	oh
昫	ok
旴	oy
盱	oy
媭	pn
须	pr
叙	ry
续	sd
𦈡	se
矞	sk
绪	so
垿	tl
圩	ty
墟	ty
胥	vo
戌	wa
顼	wr
畜	wt
珝	wx
恤	xx
需	ye
酗	yk
谞	yo
醑	yo
许	yw
诩	yx
𬣙	yy
下	ab
夏	aw
瘕	by
峡	ej
罅	fh
黠	hk
辖	ik
厦	iw
虾	ix
翈	jx
匣	kj
呷	kj
吓	kx
柙	mj
瞎	ok
暇	oy
狎	qj
狭	qj
侠	rj
硖	uj
叚	vy
瑕	wy
霞	yy
遐	zy
鲟	ac
郇	be
旬	bo
窨	bo
荨	cc
薰	ch
荀	co
蕈	cu
浔	dc
殉	do
洵	do
汛	du
浚	dw
寻	ec
𬩽	ee
峋	eo
𬊈	hc
徇	io
循	io
蟫	iu
噀	kb
勋	kl
驯	mi
栒	mo
曛	oh
熏	ph
獯	qh
巽	sb
𫄸	sh
𬘓	si
埙	tr
𬍤	wc
珣	wo
恂	xo
醺	yh
训	yi
询	yo
讯	yu
迅	zu
巡	zv
逊	zx
牙	ap
亚	ay
丫	bl
芽	cy
涯	dt
崖	et
岈	ey
押	fj
揠	fn
压	id
衙	ii
轧	iv
蚜	iy
鸭	jn
吖	ky
呀	ky
哑	ky
桠	my
姶	nk
娅	ny
睚	ot
猰	qd
氩	qy
伢	ry
堐	tt
垭	ty
碣	uv
砑	uy
琊	we
玡	wy
雅	yf
鸦	yn
讶	yy
迓	zy
䲟	ae
寅	bb
窨	bo
瘾	bx
茵	cd
茚	ce
荫	co
洇	dd
淫	dr
溵	dy
崟	ej
阴	eo
隐	ex
引	gl
蟫	iu
蚓	iy
铟	jd
银	jg
𬬱	jj
因	kd
嚚	kk
喑	ko
吟	kv
吲	ky
音	lo
慭	lx
骃	md
訚	mk
𬮱	mt
姻	nd
鄞	ne
印	pe
禋	pt
胤	pv
殷	py
氤	qd
狺	qk
𬙂	sb
𬘡	sd
垠	tg
圻	tj
堙	tt
硍	ug
饮	ur
龈	vg
龂	vj
尹	vp
珢	wg
夤	xb
愔	xo
歅	xr
䜣	yj
霪	yr
𬤇	yt
鳐	af
尧	aw
疟	ba
窑	bf
窈	bl
窅	bo
药	cu
滧	dw
隃	ed
崾	en
峣	ew
摇	ff
靿	gl
徭	if
轺	ik
铫	jd
钥	jo
咬	kx
吆	ky
杳	mo
姚	nd
媱	nf
妖	ny
曜	of
腰	on
乐	pd
夭	pd
舀	pj
鹞	pn
繇	px
猺	qf
侥	rw
约	su
㙘	tn
垚	tt
幺	vs
珧	wd
瑶	wf
耀	xf
要	xn
肴	xo
爻	xx
谣	yf
遥	zf
邀	zw
页	ar
爷	be
冶	dk
液	dn
耶	ee
揶	fe
掖	fn
焆	ho
烨	hu
靥	im
铘	je
噎	ka
咽	kd
嘢	kl
叶	ku
喝	kv
吔	ky
业	la
野	ll
曳	lp
椰	me
楪	mm
腋	on
晔	ou
倻	re
堨	tv
射	uc
馌	um
也	vv
夜	wn
邪	ye
邺	ye
谒	yv
羊	bl
疡	bp
痒	by
殃	dy
泱	dy
洋	dy
漾	dy
阳	eo
扬	fp
鞅	gy
炀	hp
烊	hy
秧	hy
徉	iy
蛘	iy
钖	jp
飏	jp
咉	ky
央	lg
杨	mp
样	my
旸	op
卬	pe
氧	qy
仰	re
佯	ry
垟	ty
玚	wp
怏	xy
养	yl
鸯	yn
恙	yx
羕	yy
一	aa
弋	ad
夷	an
鹝	an
宧	bl
益	bm
鹢	bn
宜	bq
疑	br
瘗	bt
癔	bx
疫	by
痍	by
肄	by
𬟁	cn
苡	cr
艺	cv
艾	cx
薏	cx
荑	cy
殪	da
浥	db
潩	db
沂	dj
漪	dk
溢	dm
㴔	dx
义	dx
洢	dy
峄	el
屹	eq
嶷	er
𫖮	er
挹	fb
抑	fe
揖	fe
旖	fk
廙	gb
熠	hb
燚	hh
扅	hx
移	hx
黟	hx
扆	hy
蛇	ib
螠	im
轶	iu
蜴	iw
役	iy
蚁	iy
镒	jm
钇	jv
镱	jx
铱	jy
𬬩	jy
邑	kb
贻	kk
嗌	km
颐	kr
医	ku
呓	kv
噫	kx
繄	kx
翳	kx
匜	ky
咦	ky
咿	ky
意	lx
翊	lx
毅	ly
椅	mk
驿	ml
枍	mv
杙	my
椸	my
嫕	nx
姨	ny
眙	ok
昳	ou
易	ow
臆	ox
胰	oy
乂	pn
祎	pw
猗	qk
㑊	rd
佁	rk
倚	rk
食	rl
佾	ro
仡	rq
佚	ru
亿	rv
仪	ry
伊	ry
依	ry
异	sc
绎	sl
缢	sm
矣	su
𫄷	sx
圯	ts
埸	tw
壹	ua
射	uc
饴	uk
勚	ul
尾	um
懿	ux
彝	vc
𬺈	vk
以	vr
乙	vv
已	vv
簃	vx
舣	vy
弈	wc
亦	wd
奕	wd
裔	wk
衣	wy
裛	wy
悒	xb
翼	xb
羿	xc
刈	xd
怡	xk
怿	xl
翌	xl
忆	xv
诒	yk
译	yl
诣	yo
谊	yq
叕	yy
议	yy
酏	yy
劓	zd
逸	zd
遗	zr
迤	zy
戭	bg
宴	bn
芫	ce
滟	db
演	db
渰	dc
奄	dd
淹	dd
沇	de
漹	dh
沿	dk
湮	dt
崦	ed
𪩘	eq
岩	eu
艳	fb
掩	fd
掞	fh
剡	hd
烟	hd
扊	hh
炎	hh
焱	hh
焰	hj
虤	hj
甗	hw
烻	hz
雁	if
魇	ig
黡	ih
衍	ii
厣	ij
餍	il
蝘	in
彦	ip
厌	iq
赝	ir
颜	ir
蜒	iz
鼹	jn
咽	kd
郾	ke
唁	kk
𬸘	kn
觃	kz
䶮	lt
验	ma
阉	md
棪	mh
阎	mj
檐	mk
闫	ms
梴	mz
嫣	nh
嬿	nh
燕	nh
妍	nk
胭	od
腌	od
眼	og
晏	on
殷	py
弇	rc
偃	rn
俨	ry
罨	sd
𫄧	sz
墕	th
盐	tm
堰	tn
埏	tz
砚	ue
研	uk
鄢	ve
焉	vh
筵	vz
兖	we
琰	wh
言	wk
恹	xq
歅	xr
严	yp
谚	yp
谳	yq
酽	yy
延	zv
瘿	bn
颍	br
颖	br
䓨	cf
荧	ch
萤	ci
蓥	cj
营	ck
莺	cn
茔	ct
荥	cu
萦	cx
英	cy
莹	cy
瀛	df
溁	dm
潆	dx
滢	dy
撄	fn
应	ga
鹰	gn
膺	go
蝇	id
锳	jy
郢	ke
罂	kf
嘤	kn
婴	kn
鹦	kn
楹	mm
樱	mn
桯	mw
盈	nm
媖	ny
媵	on
影	op
映	oy
缨	sn
硬	ug
嬴	wf
赢	wf
璎	wn
瑛	wy
迎	ze
唷	ko
哟	ku
冤	bd
宛	bv
芫	ce
苑	cv
薳	cz
沅	de
渊	dl
涴	dv
源	dx
湲	dy
鼋	ed
元	ee
院	ee
掾	fu
援	fy
蜎	io
原	ix
愿	ix
螈	ix
辕	iy
园	ke
员	kr
圆	kr
圜	ky
橼	mu
𫘪	mx
妧	ne
嫄	nx
媛	ny
爰	py
猿	qy
缘	su
垸	te
垣	tg
塬	tx
袁	ty
箢	vv
瑗	wy
鸳	xn
眢	xo
怨	xx
鸢	yn
羱	yx
远	ze
鳙	al
鲬	ay
痈	by
澭	df
永	dn
泳	dy
涌	dy
拥	fy
鄘	ge
庸	gl
㶲	hy
蛹	iy
镛	jl
用	kl
咏	ky
喁	ky
栐	my
臃	of
佣	ry
俑	ry
勇	sl
恿	sx
甬	sy
墉	tl
埇	ty
邕	vb
雍	wf
饔	wl
壅	wt
慵	xl
颙	yr
踊	zy
瀹	dc
爚	hc
𫐄	iw
钥	jo
钺	jv
曰	ka
月	ka
哕	kx
阅	me
栎	ml
樾	mv
刖	od
乐	pd
粤	pv
岳	qe
𬸚	qn
龠	rc
约	su
趯	tf
越	tv
籥	vc
玥	wo
悦	xe
说	ye
跃	zy
与	aa
彧	ad
雨	ad
于	al
瘀	bd
窬	bd
窳	bg
鹆	bn
欲	br
宇	by
寓	by
瘐	by
蔚	cc
薁	cd
蓣	cr
芋	cy
萸	cy
渔	da
鱼	da
淤	dd
渝	dd
浴	dk
潏	dk
汩	do
淯	do
滪	dr
㳚	du
嵛	ed
隃	ed
隩	ed
峪	ek
屿	ey
嵎	ey
隅	ey
揄	fd
於	fd
粥	gg
鬻	gl
庾	gy
髃	gy
燠	hd
燏	hk
煜	hl
虞	ht
蜮	ia
蝓	id
御	ie
舁	jc
钰	jy
喻	kd
圉	kg
圄	kk
吁	ky
禺	ld
棫	ma
阈	ma
榆	md
驭	my
妤	nl
娱	nt
妪	nx
昱	ol
腴	oy
舆	pb
禹	pd
褕	pd
裕	pk
臾	pn
毓	pv
㺄	qd
狳	qh
狱	qq
俞	rd
觎	re
余	rh
俣	rt
畬	rt
伛	rx
悆	rx
愈	rx
矞	sk
予	sl
豫	sn
鹬	sn
预	sr
纡	sy
域	ta
堉	to
圫	tq
尉	uc
郁	ue
熨	uh
饫	uy
艅	vh
龉	vk
聿	vl
竽	vy
玉	wd
瑜	wd
琟	wf
育	wo
敔	ww
玙	wy
瑀	wy
愉	xd
誉	xk
羽	xx
谕	yd
邘	ye
鄅	ye
语	yk
雩	yk
盂	ym
欤	yr
愚	yx
谀	yy
逾	zd
遹	zk
迂	zy
遇	zy
匀	bd
郓	be
蕰	cm
蕴	cm
芸	cs
菀	cv
殒	dr
涢	dr
沄	ds
陨	er
云	es
煴	hm
馧	hm
郧	ke
员	kr
韵	ld
耘	ls
妘	ns
孕	nz
昀	od
晕	oi
狁	qe
氲	qm
允	se
缊	sm
纭	ss
鋆	tj
熨	uh
筠	vd
筼	vr
韫	wm
赟	wr
恽	xi
愠	xm
酝	ys
运	zs
鱿	ay
鲉	ay
宥	bo
猷	bq
疣	by
莠	cn
莜	cw
莸	cy
浟	dw
油	dy
游	dz
幽	ey
麀	gb
黝	hl
蚴	il
蚰	iy
𬨎	iy
蝣	iz
铕	jo
铀	jy
鼬	jy
呦	kl
囿	ko
卣	la
由	la
耰	lw
槱	mh
柚	my
牖	pf
祐	pk
繇	px
釉	py
犹	qy
佑	rk
侑	ro
攸	rw
悠	rx
优	ry
右	uk
有	uo
尢	uv
友	uy
又	vn
酉	xa
忧	xy
尤	yd
邮	ye
羑	yj
幼	yl
诱	yn
扎	fv
拶	fx
杂	jm
匝	kj
咂	kj
咋	kv
咱	kz
臜	or
砸	uj
枣	ad
皂	bq
藻	cm
澡	dm
燥	hm
灶	ht
蚤	ii
噪	km
唣	kq
糟	mo
早	ou
𥖨	um
簉	vz
璪	wm
慥	xz
凿	yk
造	zk
躁	zm
遭	zo
再	ar
灾	bh
宰	bu
崽	ex
仔	rz
载	ui
哉	uk
栽	um
在	ut
甾	vt
泽	dl
择	fl
责	fr
仄	ir
帻	jr
则	kd
啧	kr
赜	kr
咋	kv
昃	or
箦	vr
笮	vv
舴	vv
迮	zv
怎	vx
谮	yo
鄫	be
曾	bo
甑	bw
䎖	bx
锃	jw
赠	ko
缯	so
罾	so
综	sx
增	to
矰	uo
憎	xo
葬	cc
藏	ci
赃	kt
驵	mq
脏	ot
奘	pd
牂	py
臧	wi
髭	ab
鲻	at
兹	by
字	bz
孳	bz
茈	cb
鼒	cv
咨	dk
粢	dm
姿	dn
洓	dn
渍	dr
资	dr
淄	dt
滓	du
恣	dx
滋	dy
嵫	ey
秭	hp
辎	it
虸	iz
锱	jt
镃	jy
呲	kb
吱	ky
嗞	ky
耔	lz
梓	mu
籽	mz
姊	np
眦	ob
自	po
仔	rz
缁	st
趑	tr
子	va
龇	vb
訾	vk
笫	vp
赀	vr
紫	vx
觜	vy
鄑	ye
孜	zw
孖	zz
寁	br
攒	fr
拶	fx
錾	ij
暂	io
咱	kz
糌	mo
酂	ne
赞	nr
趱	tr
簪	vo
昝	wo
瓒	wr
岞	ev
阼	ev
捽	fu
撮	fy
座	gt
咗	kg
唑	kt
嘬	ky
柞	mv
昨	ov
胙	ov
祚	pv
佐	rg
坐	rt
作	rv
做	rw
左	ug
笮	vv
琢	wn
怍	xv
酢	yv
攥	fx
钻	jk
缵	sr
纂	vx
躜	zr
鬷	aw
鬃	ax
疭	br
宗	bx
总	bx
熜	hx
枞	mr
棕	mx
粽	mx
腙	ox
倧	rx
偬	rx
纵	sr
综	sx
踪	zx
菹	cq
阻	eq
崒	eu
族	fu
租	hq
镞	ju
足	kr
祖	pq
俎	rq
组	sq
珇	wq
卒	wu
诅	yq
蕞	cy
咀	kq
嘴	ky
槜	mn
最	oy
罪	sf
觜	vy
醉	yu
鲗	ad
贼	ku
鳟	ac
尊	bc
嶟	ec
撙	fc
𨱔	jc
噂	kc
樽	mc
僔	rc
遵	zc
鲰	ay
邹	de
鄹	ee
陬	ey
奏	ft
揍	ft
驺	me
走	tr
诹	yy

# added from: https://github.com/boomker/rime-flypy-xhfast/blob/15664c597644bd41410ec4595cece88a6452a1bf/scripts/xhxm_map.py
招	fk
弗	vl
恁	rx
脊	do
砦	vu
鲶	ax
榀	mk
薙	cf
岠	ej
峛	ed
丼	ad
車	al
嬢	ny
炁	ah
祂	py
觍	qe
瑠	wt
畊	tj
菈	cl
恦	xk
倖	rg
婗	ne
礽	pn
矽	ux
阢	ee
卍	vv
碁	qu
僝	rz
揎	fg

# thanks to: https://github.com/gaboolic/rime-flypy-zrmfast/
㞗	uq
㨃	fz
䌷	sy
亖	ee
仌	rr
佧	rb
兲	wb
円	ka
凨	js
凬	jo
咲	kt
喥	ky
喰	kl
嚱	kg
垅	tl
垇	ta
埜	mt
堀	ti
妉	nv
妜	ng
妡	nj
妳	nx
姀	nh
婋	nj
嫮	nk
嬅	nl
実	bn
尛	xx
広	gs
怹	rx
恏	nx
惢	xx
慜	px
抦	fb
揞	fo
敹	lw
昍	oo
昰	ov
晹	ow
暒	ou
朊	oe
朤	oo
杺	mx
桜	mn
槅	ml
欋	mf
氼	ur
沢	di
湦	du
灀	do
炤	hk
烎	kh
烓	ht
焺	hu
犼	qv
猋	qq
玊	wd
玏	wl
玽	wk
珃	wr
珄	w
珮	wj
琂	wk
琞	oy
甙	yg
畑	ht
盻	ov
砳	uu
筊	vx
粄	my
罥	so
羴	yy
翧	bx
膖	oz
芶	cs
苶	cx
荌	cn
莀	cn
莯	cm
菓	cg
蕥	cf
裯	pk
豗	wu
跩	zy
跫	gr
郬	fe
雫	yx
靘	fb
骭	gg
麤	gb
凪	jv
躾	ud
